Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1996:Q1,Bottom50,2824480,2002954,1385371,617584,821525,175772,8467,24486,20843,3643,4762,1931,2832,77819,75462,14063,139661,164136,66652,70244,1813719,1811352,1088833,637766,4750,80003,2367,1010760,49794001,
1996:Q2,TopPt1,3415121,403569,230286,173283,3011552,181554,78367,553240,337084,216156,323144,307933,15211,1006778,25601,2173,25119,16382,791457,7736,40722,40078,17585,2153,1781,18559,644,3374399,101124,
1996:Q2,RemainingTop1,4870467,817027,633816,183211,4053440,331919,150513,425874,286839,139035,67963,45005,22958,1529506,61946,24658,202191,178428,1059255,21187,189098,187027,142301,11938,2779,30010,2071,4681369,894767,
1996:Q2,Next9,10869922,2738429,2208571,529858,8131493,963492,236971,411145,282475,128670,83723,42175,41547,1709519,137489,322930,547711,2548860,1098173,71479,767080,762791,603241,98737,2907,57906,4288,10102842,8991534,
1996:Q2,Next40,12449032,5311966,4236368,1075598,7137065,1221049,116652,244846,156502,88345,35242,13461,21781,810295,292865,254083,656105,2704141,650054,151733,2091974,2083032,1579326,431277,9971,62458,8942,10357057,39942545,
1996:Q2,Bottom50,2844011,2008632,1391767,616866,835379,177479,8032,24645,20616,4028,4535,1767,2768,81966,75641,14079,141873,167505,69571,70053,1826547,1824190,1089755,652473,6112,75850,2357,1017465,49938845,
1996:Q3,TopPt1,3411424,405292,235877,169415,3006132,181265,78635,553188,345970,207218,314363,300255,14109,1005039,25301,2264,26723,17729,793817,7808,44361,43735,18491,2512,2095,20637,625,3367063,101884,
1996:Q3,RemainingTop1,4900729,833288,648918,184370,4067441,331520,154682,428194,296558,131635,77645,54524,23121,1513451,61495,26054,211520,186581,1055005,21295,192733,190682,144632,12299,2881,30870,2051,4707996,897161,
1996:Q3,Next9,11023615,2782545,2242236,540309,8241070,962339,245928,423494,291585,131909,81234,40725,40509,1716777,145081,326204,554312,2589245,1123783,72674,797011,792570,622522,105245,3357,61447,4441,10226604,9018705,
1996:Q3,Next40,12626321,5373607,4281669,1091938,7252713,1238752,124433,238130,158543,79587,34047,12301,21746,833479,300488,254945,690406,2723346,661284,153405,2137022,2127990,1612000,442969,11269,61753,9031,10489299,40059096,
1996:Q3,Bottom50,2867881,2018535,1399392,619143,849346,180569,8044,23845,20090,3755,4315,1611,2703,83761,76211,14091,144775,170869,72515,70351,1838873,1836527,1091718,666822,6480,71507,2346,1029008,50085208,
1996:Q4,TopPt1,3517140,416626,239505,177121,3100515,178509,81246,559981,355773,204208,320242,307257,12985,1062760,25101,3094,30462,19186,812073,7860,47340,46734,19077,2995,1801,22861,606,3469800,102653,
1996:Q4,RemainingTop1,5012822,854937,671628,183309,4157886,328310,160710,435711,306996,128715,79690,56393,23298,1558187,61248,26482,234403,193627,1058151,21367,196732,194702,147461,12866,1981,32395,2030,4816091,899597,
1996:Q4,Next9,11335149,2849270,2310644,538626,8485879,955608,257843,437156,301301,135855,103459,63983,39476,1806204,153022,300214,614488,2619879,1164293,73712,825286,820692,637095,113288,2698,67612,4594,10509863,9045759,
1996:Q4,Next40,12840463,5386822,4280200,1106623,7453640,1249168,133600,237339,160763,76576,40083,18361,21722,881383,308414,246641,791257,2735356,675696,154703,2181013,2171893,1641004,459312,8860,62716,9120,10659450,40177032,
1996:Q4,Bottom50,2882144,2009379,1387128,622251,872765,182446,8165,23259,19536,3723,4280,1641,2639,88468,76841,13957,155697,173973,75200,70479,1856096,1853761,1093994,685417,5023,69328,2335,1026048,50232798,
