Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
2022:Q3,pct00to20,4908504,2673203,2154225,518978,2235301,462471,47625,72844,72844,0,23136,21617,1519,631066,52431,12212,80687,207990,543745,101094,782471,781362,371833,365261,32582,11686,1109,4126034,26260886,0,31166
2022:Q4,pct99to100,32231904,6124008,5333276,790732,26107896,2919883,522615,1264420,1264420,0,418651,407938,10713,12599597,415507,77128,1059509,566906,6158125,105556,1397657,1392340,943234,156576,104113,188417,5317,30834247,1317078,,
2022:Q4,pct80to99,71981226,20713377,18008341,2705035,51267849,6510816,1732964,2014195,2014195,0,533792,490091,43701,16948739,987264,1497788,5903921,8123420,6500935,514016,7876998,7857445,5821100,1547057,100220,389068,19553,64104228,25007106,,
2022:Q4,pct60to80,22882906,9541880,7868772,1673108,13341026,2077287,339222,461088,461088,0,120814,115778,5035,2269280,285851,543740,1374834,4263350,1275076,330485,4430767,4424899,3056064,1266473,53168,49193,5868,18452139,26321007,,
2022:Q4,pct40to60,14386766,6659216,5468320,1190896,7727550,1372649,188931,242701,242701,0,42903,31305,11599,1358967,179988,152706,535930,2279996,1094445,278334,2722225,2718391,1715797,909780,37143,55671,3834,11664541,26328480,,
2022:Q4,pct20to40,7657419,3915184,3161010,754174,3742235,914325,90658,112870,112870,0,5280,4392,888,362774,64909,68957,171332,1397955,358630,194544,1395096,1393760,737955,617038,29720,9046,1337,6262322,26317122,,
2022:Q4,pct00to20,4938100,2641503,2116133,525370,2296598,464396,48627,120755,120755,0,21594,20215,1378,649714,53568,12303,81037,202608,538479,103517,793540,792488,379942,361515,35085,15946,1052,4144560,26322191,,
2023:Q1,pct99to100,33324084,6163376,5366420,796956,27160708,2831426,611749,1447330,1447330,0,407482,396734,10747,13476364,425007,78501,1113007,573722,6089156,106966,1409821,1404034,955720,158957,100271,189087,5787,31914263,1321422,,
2023:Q1,pct80to99,73677610,20855962,18115544,2740418,52821648,6336362,1926296,2244776,2244776,0,523051,479208,43843,17904085,1007539,1553377,6174242,8204105,6426989,520825,7876166,7856173,5840574,1542827,92256,380516,19993,65801444,25089585,,
2023:Q1,pct60to80,23344353,9611291,7916698,1694593,13733062,2042373,366878,551577,551577,0,117404,112352,5052,2421272,291103,569591,1470667,4305299,1261922,334976,4418766,4412816,3053182,1260262,50182,49190,5950,18925588,26407819,,
2023:Q1,pct40to60,14565648,6704058,5497182,1206876,7861590,1335058,204826,280302,280302,0,43622,31986,11636,1417021,183670,165569,573347,2298182,1077532,282460,2733730,2729907,1730257,910734,33264,55652,3822,11831919,26415316,,
2023:Q1,pct20to40,7738987,3946761,3183129,763632,3792226,900069,101990,122798,122798,0,6336,5446,890,383844,65372,71594,180698,1403928,358189,197407,1399903,1398550,744116,619679,25412,9343,1353,6339084,26403921,,
2023:Q1,pct00to20,5032793,2663444,2130572,532871,2369350,466780,50530,161224,161224,0,20844,19462,1383,672931,55402,12783,81379,205384,537060,105032,796191,795114,388204,359526,30841,16543,1077,4236602,26409007,,
2023:Q2,pct99to100,34772868,6493640,5687058,806582,28279228,2788730,664556,1460040,1460040,0,408353,397695,10658,14365340,431218,79495,1165104,580825,6227463,108104,1423438,1417656,966041,163776,98627,189213,5782,33349430,1322709,,
2023:Q2,pct80to99,76500687,22129697,19358217,2771480,54370990,6251712,2037677,2260593,2260593,0,523732,480248,43484,18860393,1020656,1596411,6435368,8283450,6574683,526314,7941841,7921837,5879713,1559941,89207,392976,20004,68558845,25114009,,
2023:Q2,pct60to80,24173707,10091527,8377092,1714435,14082181,2024973,382330,557946,557946,0,117629,112636,4993,2575055,294459,589867,1566002,4346417,1288888,338615,4455653,4449699,3072102,1279164,48991,49442,5954,19718054,26433527,,
2023:Q2,pct40to60,14912808,6900040,5680264,1219776,8012768,1316836,213738,282924,282924,0,43476,31992,11484,1473873,186052,175861,610573,2314557,1109019,285859,2760110,2756284,1748834,919680,31814,55956,3827,12152698,26441031,,
2023:Q2,pct20to40,7947882,4114751,3340890,773862,3833131,892925,108576,123466,123466,0,6232,5404,828,404977,65613,73640,189874,1407125,360940,199763,1415865,1414511,750325,631324,23838,9024,1354,6532017,26429624,,
2023:Q2,pct00to20,5219757,2812279,2270568,541711,2407479,467608,51460,164115,164115,0,20854,19518,1336,695261,56637,13156,81426,208372,542311,106278,793751,792674,394725,352786,29272,15890,1077,4426006,26434716,,
2023:Q3,pct99to100,34255924,6555103,5750366,804738,27700821,2746555,719304,1488121,1488121,0,378443,367779,10664,13783345,428202,82327,1138124,571923,6255410,109066,1436753,1430619,976860,166836,97881,189043,6134,32819172,1322085,,
2023:Q3,pct80to99,76068092,22366555,19592321,2774233,53701537,6167107,2150475,2293941,2293941,0,493696,450187,43509,18235359,1014287,1725411,6300254,8185481,6604581,530945,8025649,8005359,5928867,1567200,87946,421345,20291,68042443,25102173,,
2023:Q3,pct60to80,24134869,10182878,8467232,1715645,13951991,2006570,397559,572641,572641,0,108582,103585,4998,2474404,292829,651211,1516520,4295692,1294282,341700,4494143,4488143,3100041,1289709,48479,49914,6000,19640726,26421068,,
2023:Q3,pct40to60,14910985,6936658,5715116,1221542,7974327,1298663,222551,288781,288781,0,44710,33213,11497,1436823,184895,207429,591252,2294833,1115604,288785,2784898,2781092,1771141,922190,31229,56533,3806,12126087,26428569,,
2023:Q3,pct20to40,7972600,4149928,3376180,773748,3822672,885285,115296,124774,124774,0,8596,7761,835,391161,65496,79777,185119,1404055,361324,201789,1427960,1426597,757176,637953,23217,8251,1363,6544640,26417168,,
2023:Q3,pct00to20,5238390,2840821,2299352,541469,2397569,467713,52257,171104,171104,0,18923,17582,1341,680744,56037,14275,81418,204598,543152,107348,789709,788615,401598,344057,28646,14315,1093,4448682,26422257,,
2023:Q4,pct99to100,35859972,6509018,5696040,812978,29350955,2762691,772249,1593311,1593311,0,389856,379251,10605,15276351,432594,79786,1233951,594970,6103768,111428,1450921,1444448,985959,171328,98020,189142,6472,34409052,1322758,,
2023:Q4,pct80to99,78243528,22196127,19417570,2778557,56047401,6199701,2258758,2416571,2416571,0,505055,461781,43275,19832999,1023541,1609499,6778532,8437897,6442522,542325,8080208,8059629,5965909,1585948,88145,419627,20579,70163320,25114948,,
2023:Q4,pct60to80,24635096,10110583,8390722,1719861,14524513,2013887,412051,628584,628584,0,112009,107049,4959,2732454,295191,596077,1693809,4426348,1264842,349262,4533208,4527159,3119132,1309556,48566,49905,6049,20101888,26434515,,
2023:Q4,pct40to60,15073760,6903432,5681751,1221681,8170328,1305655,230945,310814,310814,0,44184,32784,11399,1530927,186575,179046,660482,2345235,1080564,295900,2812185,2808396,1788303,932256,31317,56520,3790,12261575,26442020,,
2023:Q4,pct20to40,8007575,4115242,3337326,777916,3892333,888340,121762,129433,129433,0,7683,6887,796,426496,65657,74262,202049,1411227,358706,206717,1445173,1443801,762767,649421,23306,8307,1372,6562402,26430613,,
2023:Q4,pct00to20,5288399,2818718,2273141,545577,2469681,467835,52978,198152,198152,0,19631,18320,1311,717417,56916,13269,81230,214393,537907,109953,791323,790213,407330,339718,28737,14428,1110,4497076,26435704,,
2024:Q1,pct99to100,37574869,6655015,5833059,821956,30919854,2821813,790691,1563340,1563340,0,388549,378006,10542,16766254,442897,80913,1306192,600983,6045316,112907,1458392,1451163,992496,169741,99159,189767,7229,36116477,1327122,,
2024:Q1,pct80to99,80970699,22758317,19953426,2804891,58212382,6320086,2298362,2384180,2384180,0,503821,460795,43026,21427841,1045498,1653840,7139498,8509973,6379815,549468,8129128,8107869,5982409,1574387,89862,461211,21259,72841571,25197802,,
2024:Q1,pct60to80,25313547,10324740,8588006,1736735,14988807,2041876,417655,611647,611647,0,111561,106647,4914,2989982,300869,616580,1827085,4463846,1253731,353974,4522567,4516397,3121963,1294344,49297,50793,6170,20790980,26521723,,
2024:Q1,pct40to60,15354201,6994635,5762063,1232572,8359566,1331443,234171,304432,304432,0,44273,32994,11280,1624920,190563,189158,712525,2361765,1066081,300234,2818714,2814952,1796437,928842,32088,57585,3762,12535486,26529252,,
2024:Q1,pct20to40,8154046,4189317,3402719,786597,3964729,900102,124090,128374,128374,0,7845,7106,739,461768,66146,76364,214802,1417068,358446,209724,1443276,1441880,766421,644097,24098,7263,1396,6710770,26517807,,
2024:Q1,pct00to20,5389297,2885014,2332206,552808,2504283,468974,53347,189481,189481,0,19489,18219,1270,754064,58913,13652,81143,216824,536852,111544,799141,797994,411201,344952,29550,12290,1147,4590156,26522916,,
2024:Q2,pct99to100,38238305,6879699,6054749,824950,31358606,2744833,813086,1618184,1618184,0,383400,372943,10457,17102414,446744,81569,1326818,604666,6122710,114183,1469618,1462388,1002087,172321,97766,190214,7229,36768687,1329903,,
2024:Q2,pct80to99,82429754,23630420,20814057,2816362,58799334,6167669,2344968,2448054,2448054,0,498549,455864,42685,21791589,1053800,1679318,7243135,8554293,6462334,555627,8199404,8178113,6025677,1582233,87282,482922,21291,74230350,25250596,,
2024:Q2,pct60to80,25792874,10649246,8905389,1743856,15143629,2010757,424022,640840,640840,0,109957,105100,4857,3048190,303046,628327,1864589,4486908,1268946,358045,4553856,4547674,3144661,1303442,48288,51284,6181,21239019,26577290,,
2024:Q2,pct40to60,15536100,7119184,5881604,1237581,8416916,1298625,237850,315922,315922,0,44426,33294,11132,1646765,192071,194924,727168,2371982,1083178,304004,2840142,2836371,1814627,932711,30862,58171,3771,12695958,26584836,,
2024:Q2,pct20to40,8281255,4302355,3512434,789921,3978900,887343,126858,130796,130796,0,8254,7576,677,469799,66374,77571,218429,1420752,360387,212338,1453593,1452195,772629,650067,22767,6731,1398,6827662,26573367,,
2024:Q2,pct00to20,5521518,2985527,2430129,555399,2535990,470618,53701,203608,203608,0,19103,17879,1224,762716,59631,13871,81196,218310,540308,112927,797505,796356,416855,340080,28224,11198,1149,4724012,26578486,,
2024:Q3,pct99to100,39784922,6847172,6018320,828852,32937751,2745479,867407,1699912,1699912,0,413357,403039,10318,18401773,453530,82385,1388689,611097,6158317,115804,1477127,1470717,1010403,173524,96280,190510,6410,38307795,1331852,,
2024:Q3,pct80to99,84384758,23499281,20666944,2832336,60885477,6169959,2454683,2539655,2539655,0,528286,486156,42130,23169999,1068181,1713260,7550319,8627433,6500260,563444,8261062,8240430,6070864,1596243,84709,488614,20632,76123696,25287608,,
2024:Q3,pct60to80,26231028,10607523,8853736,1753787,15623504,2012261,438482,685744,685744,0,118969,114201,4768,3272454,306741,644198,1980594,4524850,1275985,363227,4590602,4584526,3171285,1314534,47255,51452,6076,21640426,26616247,,
2024:Q3,pct40to60,15717527,7112023,5867491,1244532,8605504,1299078,246242,333192,333192,0,43000,32096,10905,1726706,194682,202889,772470,2387518,1090885,308842,2866076,2862254,1832480,941746,29660,58369,3822,12851451,26623803,,
2024:Q3,pct20to40,8328599,4290124,3495496,794628,4038475,888046,133436,134029,134029,0,5818,5228,589,500327,66659,79182,229401,1424483,361402,215692,1462989,1461610,778395,655123,21483,6610,1379,6865610,26612317,,
2024:Q3,pct00to20,5572636,2972767,2413521,559246,2599869,471333,54354,226015,226015,0,20979,19822,1157,793453,60968,14165,80857,220989,542056,114701,807203,806090,421618,346594,26933,10947,1112,4765433,26617444,,
2024:Q4,pct99to100,40007637,6804579,5969677,834902,33203058,2793608,951216,1677087,1677087,0,311892,301708,10184,18602071,456086,81788,1388724,617595,6205423,117570,1453888,1447447,1022026,169949,64484,190989,6441,38553749,1333732,,
2024:Q4,pct80to99,84675462,23327912,20459586,2868325,61347550,6267118,2621347,2515605,2515605,0,424707,383116,41592,23386521,1073698,1683417,7551462,8701243,6550476,571956,8283193,8262514,6114461,1570055,45886,532112,20679,76392269,25323305,,
2024:Q4,pct60to80,26256948,10559864,8784196,1775667,15697084,2034010,460020,672603,672603,0,88342,83659,4683,3307131,308189,629786,1979741,4563137,1285255,368871,4565592,4559504,3191800,1286317,29045,52342,6088,21691356,26653819,,
2024:Q4,pct40to60,15783859,7109317,5848571,1260745,8674542,1319923,258773,328306,328306,0,46191,35504,10687,1739687,195685,195306,772135,2403164,1101254,314119,2859316,2855490,1852970,929597,13483,59439,3826,12924543,26661386,,
2024:Q4,pct20to40,8357333,4281069,3476707,804361,4076264,897123,143480,133288,133288,0,13162,12656,507,505108,66812,77759,229383,1428190,362611,219348,1441793,1440411,785392,643298,6221,5501,1381,6915540,26649884,,
2024:Q4,pct00to20,5559368,2959435,2392246,567188,2599934,471653,55199,219177,219177,0,14454,13360,1094,798588,61444,13905,80987,223698,544196,116634,798050,796936,428881,348843,10535,8677,1115,4761318,26655018,,
2025:Q1,pct99to100,39755630,6895422,6036412,859010,32860208,2846941,974698,1709408,1709408,0,327507,317470,10037,18191743,450829,81845,1356752,617564,6184350,118570,1437205,1429390,1027304,169930,39838,192318,7815,38318425,1343152,,
2025:Q1,pct80to99,84664133,23683586,20778621,2904965,60980547,6378530,2672722,2555830,2555830,0,440987,399979,41007,22980200,1063534,1671780,7398095,8714653,6527401,576816,8293335,8271406,6139536,1574115,25227,532528,21929,76370798,25502165,,
2025:Q1,pct60to80,26302028,10685232,8883736,1801496,15616796,2062718,467436,688797,688797,0,92912,88330,4582,3237076,305872,623061,1914689,4570498,1281713,372023,4563993,4557680,3201274,1286564,17195,52647,6313,21738035,26842076,,
2025:Q1,pct40to60,15824105,7164309,5891080,1273229,8659796,1343679,263031,334972,334972,0,45900,35474,10426,1719163,193846,190946,746724,2410567,1094117,316852,2863665,2859884,1859834,933776,6494,59781,3781,12960439,26849697,,
2025:Q1,pct20to40,8397665,4308536,3487728,820808,4089129,909393,146484,134987,134987,0,12274,11881,393,496007,67024,77189,223574,1436954,363989,221254,1441946,1440521,789216,644185,1493,5626,1426,6955718,26838114,,
2025:Q1,pct00to20,5603920,2997313,2415699,581614,2606607,474713,55728,226525,226525,0,15311,14301,1010,791725,60150,13799,81887,223409,545715,117646,800122,798937,430935,354737,4350,8915,1184,4803799,26843284,,
2025:Q2,pct99to100,41699659,7058916,6182483,876433,34640743,2841651,988468,1743167,1743167,0,322594,312686,9908,19816954,454861,83289,1455234,621290,6193680,119556,1432682,1425169,1036813,172009,22545,193803,7513,40266977,1351741,,
2025:Q2,pct80to99,87712132,24312711,21347324,2965387,63399421,6372368,2704560,2596966,2596966,0,435967,395472,40494,24717025,1072739,1724107,7889294,8767937,6536859,581598,8382801,8361023,6190855,1584839,13334,571995,21777,79329331,25665243,,
2025:Q2,pct60to80,27097625,10934047,9094471,1839576,16163578,2065882,472291,706055,706055,0,91349,86854,4495,3517916,308437,646819,2097208,4598461,1284033,375129,4594503,4588198,3228080,1296924,9505,53689,6305,22503122,27013723,,
2025:Q2,pct40to60,16151765,7279464,5980525,1298938,8872301,1342179,265801,341970,341970,0,46049,35848,10201,1821228,195522,202324,817997,2425495,1094173,319564,2884811,2880987,1877367,939485,3121,61014,3824,13266954,27021392,,
2025:Q2,pct20to40,8563544,4397266,3557714,839552,4166278,911060,148314,136670,136670,0,12691,12395,296,534429,67488,79664,240982,1446075,365762,223143,1452435,1451009,796066,650079,136,4728,1426,7111110,27009735,,
2025:Q2,pct00to20,5738366,3075247,2478197,597050,2663119,477939,56145,234532,234532,0,14906,13968,938,831420,60769,14248,81650,224743,548117,118649,798569,797393,435561,352960,1810,7062,1176,4939797,27014938,,
2025:Q3,pct99to100,43614296,7017265,6137056,880210,36597031,2855132,1041164,1774118,1774118,0,322509,312853,9657,21473230,457766,84411,1529649,625315,6313462,120274,1438691,1432630,1046231,173262,18177,194960,6061,42175605,1355868,,
2025:Q3,pct80to99,90051058,24130765,21119502,3011263,65920293,6401425,2809620,2632421,2632421,0,435346,395861,39485,26467845,1079190,1768577,8258223,8817983,6664588,585075,8502657,8482039,6240285,1597954,10581,633220,20618,81548401,25743588,,
2025:Q3,pct60to80,27597856,10895741,9029185,1866556,16702115,2074240,485912,722760,722760,0,91225,86884,4341,3803617,310182,667413,2237246,4624547,1307568,377405,4631445,4625324,3255677,1306975,7622,55049,6122,22966411,27096184,,
2025:Q3,pct40to60,16393465,7293304,5972651,1320654,9100160,1348341,273723,348479,348479,0,45787,35974,9813,1922114,196695,212504,872684,2437536,1120693,321607,2913408,2909492,1896293,948142,2416,62641,3915,13480057,27103877,,
2025:Q3,pct20to40,8641993,4400699,3550519,850180,4241294,914690,154640,137975,137975,0,12642,12482,160,573227,67740,81772,254193,1451129,368721,224564,1462228,1460836,802590,655030,0,3217,1392,7179765,27092184,,
2025:Q3,pct00to20,5784269,3064497,2459372,605125,2719772,479359,56692,242728,242728,0,14794,13962,832,869989,61264,14632,81169,226335,553409,119402,806121,805011,440744,358963,1341,3962,1111,4978148,27097403,,
