Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1998:Q4,pct99to100,7760410,1215969,950661,265308,6544441,374623,295187,726538,510309,216229,301315,286628,14687,2876447,57607,26008,291245,226917,1342336,26217,370620,369973,241339,24616,6560,97458,647,7389789,1028513,,
1998:Q4,pct80to99,18507466,5116205,4056091,1060114,13391261,1179870,377282,600294,417114,183181,194575,164927,29647,3899904,351029,388462,1434773,2792779,2035743,136549,2487838,2479253,1865798,436742,17931,158782,8585,16019628,19542996,,
1998:Q4,pct60to80,7834645,2857768,2227630,630138,4976877,525955,125660,173141,116980,56161,35708,14924,20784,876260,167762,236741,547279,1788235,420181,79954,1534074,1529789,1067768,411571,7181,43269,4284,6300572,20566002,,
1998:Q4,pct40to60,4528331,1853933,1412577,441355,2674398,415017,53825,91480,73849,17631,63051,51057,11994,403473,89909,78709,214894,924846,287302,51893,852128,849764,534078,303564,4363,7759,2364,3676203,20573484,,
1998:Q4,pct20to40,3039382,1299378,1005780,293598,1740003,402738,59917,75642,50342,25300,14007,5405,8601,265519,47840,19356,59384,569270,191960,34371,431869,430629,251659,171157,2163,5651,1240,2607513,20572544,,
1998:Q4,pct00to20,1405579,683319,540069,143250,722260,183722,21724,43744,28024,15719,24058,22849,1210,89971,20580,1575,12527,199186,107464,17709,187156,186660,87948,93621,1128,3963,496,1218423,20560081,,
1999:Q1,pct99to100,7715483,1242816,972931,269885,6472667,371766,316735,686064,468304,217760,297274,281671,15603,2836961,60035,25666,304183,225503,1321797,26683,378243,376961,246058,26307,6337,98259,1283,7337240,1031303,,
1999:Q1,pct80to99,18800039,5198373,4125840,1072534,13601666,1168781,409174,616766,407653,209113,194845,164000,30845,3945148,351761,400385,1470696,2869910,2036773,137426,2537246,2528228,1911420,435924,16453,164430,9018,16262793,19599153,,
1999:Q1,pct60to80,7916252,2907589,2272240,635349,5008663,529967,127149,172728,109212,63517,35664,15246,20418,887491,173027,234213,564462,1791842,411948,80172,1540881,1536442,1081886,407335,6658,40563,4439,6375370,20624791,,
1999:Q1,pct40to60,4586411,1889712,1446105,443607,2696700,414816,56416,90286,65688,24598,64424,52777,11646,413766,92209,79943,220797,942369,270491,51183,861737,859377,543600,303550,4053,8174,2360,3724674,20632498,,
1999:Q1,pct20to40,3062070,1327221,1029854,297367,1734850,395504,60301,72255,45460,26795,15640,6988,8652,262398,49298,19475,62068,571217,192597,34097,437002,435729,255522,171889,2097,6221,1273,2625069,20631524,,
1999:Q1,pct00to20,1395350,684896,542367,142528,710454,183033,21232,37502,21937,15564,21254,19722,1532,94872,20596,1643,11596,198520,102894,17312,192294,191774,89150,97393,1272,3959,520,1203056,20618820,,
1999:Q2,pct99to100,7995529,1283674,1000152,283522,6711855,365934,313133,646564,437071,209493,295043,278555,16488,3067018,64172,25587,323278,224556,1359366,27203,388363,387032,251580,29402,6713,99337,1331,7607166,1034103,,
1999:Q2,pct80to99,19479177,5356045,4271355,1084689,14123133,1151345,398561,593875,399207,194668,196543,164537,32006,4281508,356054,420640,1537205,2952713,2096125,138565,2623316,2614367,1964419,443983,16904,189061,8950,16855861,19655606,,
1999:Q2,pct60to80,8076309,2966042,2323630,642412,5110267,532384,124378,163330,104513,58817,36107,16097,20009,951506,179223,235797,594777,1798137,414066,80561,1563424,1558919,1101098,412737,6871,38213,4506,6512884,20683949,,
1999:Q2,pct40to60,4663846,1912582,1469026,443556,2751265,413080,56381,83414,59557,23857,65367,54160,11207,443039,95167,83105,231868,961002,268210,50631,879666,877282,555723,308158,4263,9137,2384,3784181,20691764,,
1999:Q2,pct20to40,3090343,1356093,1051294,304798,1734251,387425,58030,66269,41507,24762,16841,8235,8606,268992,50817,19989,65874,573311,192769,33934,447077,445788,260081,177028,2366,6313,1289,2643267,20690780,,
1999:Q2,pct00to20,1401049,693894,548027,145867,707155,182207,20943,32045,18126,13919,18665,16873,1793,105588,20959,1773,10514,198024,99464,16972,196218,195701,90790,100273,1638,2999,517,1204831,20677983,,
1999:Q3,pct99to100,7860187,1320177,1032653,287524,6540010,372927,326478,622198,419204,202994,303196,285812,17384,2827380,64435,24746,317876,222232,1430464,28077,400478,399118,259615,33385,5967,100151,1360,7459709,1036943,,
1999:Q3,pct80to99,19570705,5492633,4387806,1104827,14078072,1161173,416626,583815,395948,187867,206983,173796,33188,4100454,352203,416910,1488080,3020743,2189678,141407,2697748,2688884,2025602,455253,14072,193956,8864,16872957,19712718,,
1999:Q3,pct60to80,8106425,3033496,2381427,652069,5072930,541704,124775,160264,103810,56454,39747,20086,19660,921533,183389,225500,574669,1796794,422473,82081,1591533,1586964,1123877,421780,5809,35497,4570,6514892,20743864,,
1999:Q3,pct40to60,4718239,1956223,1506366,449857,2762016,417940,58145,79969,55631,24338,65110,54249,10861,437826,96660,80706,223270,976802,274449,51138,902483,900074,572151,314825,3565,9532,2409,3815756,20751687,,
1999:Q3,pct20to40,3114161,1396508,1086544,309964,1717653,382880,57728,62097,38624,23473,16626,7983,8644,259071,52225,19363,65191,575038,192930,34504,460534,459230,265916,184392,2016,6906,1304,2653627,20750702,,
1999:Q3,pct00to20,1402517,704835,558374,146461,697682,181946,20588,29185,16495,12689,17029,14932,2097,105478,20530,1723,10282,197034,96868,17019,201438,200925,94097,102259,1533,3036,512,1201079,20737955,,
1999:Q4,pct99to100,8633194,1361213,1060420,300793,7271981,392191,360008,583488,435263,148225,323894,305633,18260,3454559,76348,25474,350448,222936,1449916,32720,415902,414150,268117,38515,5855,101663,1753,8217292,1039854,,
1999:Q4,pct80to99,20867745,5622020,4506062,1115958,15245725,1196976,468359,504549,413134,91414,227826,193481,34345,4875344,372761,463654,1620676,3122629,2230523,162429,2797184,2788097,2070799,465925,13208,238165,9087,18070561,19770851,,
1999:Q4,pct60to80,8422001,3083319,2424839,658480,5338682,557653,129103,142156,114759,27396,47009,27717,19292,1065885,193771,239860,633311,1812465,421800,95669,1606408,1601719,1131869,430745,5504,33601,4689,6815593,20804928,,
1999:Q4,pct40to60,4873181,1987720,1538306,449414,2885461,429095,62129,65595,56542,9054,63503,53036,10467,496774,102597,89961,245463,999181,268173,62988,923999,921581,584591,322526,3400,11064,2417,3949182,20812668,,
1999:Q4,pct20to40,3166671,1418237,1101216,317021,1748434,381595,59797,51297,37938,13359,14692,6063,8628,280413,54002,21118,71469,577670,193449,42932,474298,472967,270872,193568,2013,6514,1330,2692373,20811684,,
1999:Q4,pct00to20,1431051,714588,565162,149426,716463,182194,20216,27214,19700,7515,16390,14026,2364,125304,22474,2053,8878,197142,93385,21212,203658,203133,98014,102343,1669,1107,525,1227393,20799119,,
2000:Q1,pct99to100,8833166,1416374,1106909,309466,7416792,403586,383477,520492,395761,124730,325833,306812,19021,3621939,80111,25420,366777,221962,1433668,33526,428507,427114,276078,41764,6207,103065,1393,8404660,1042867,,
2000:Q1,pct80to99,21539904,5836288,4699260,1137028,15703615,1215982,503083,464545,393563,70982,232421,197069,35351,5143248,376215,485802,1676590,3206429,2234376,164925,2868783,2860113,2106815,463195,13571,276532,8671,18671120,19830368,,
2000:Q1,pct60to80,8597380,3172722,2502979,669743,5424658,569433,131742,126336,105205,21131,48190,29464,18726,1118077,199858,242033,658521,1818811,414704,96954,1599515,1594819,1132504,425030,5686,31599,4696,6997865,20867527,,
2000:Q1,pct40to60,4949821,2017684,1562583,455101,2932137,436218,65061,57038,49982,7055,63747,54046,9701,521872,105445,93511,254616,1018103,253270,63257,936068,933606,594045,323559,3578,12425,2462,4013753,20875109,,
2000:Q1,pct20to40,3219740,1466386,1142101,324285,1753354,378076,60814,44671,34110,10560,14992,6751,8241,285522,55539,21704,74768,579866,194061,43340,481364,480030,275082,196436,2249,6263,1335,2738375,20874116,,
2000:Q1,pct00to20,1440614,729063,576766,152297,711551,182096,19930,20761,14985,5777,14214,11809,2405,134517,22753,2198,8037,196650,89224,21171,207976,207474,101690,103781,2003,0,502,1232638,20861860,,
2000:Q2,pct99to100,8667651,1482974,1162935,320039,7184676,405050,376997,500117,370844,129274,315426,295665,19761,3364008,80511,24872,365440,219897,1497880,34480,442416,440922,284720,46891,5714,103597,1494,8225235,1046014,,
2000:Q2,pct80to99,21685660,6076243,4919552,1156691,15609417,1213932,487957,463126,381059,82067,226467,190138,36329,4936962,372596,491310,1649188,3278762,2320990,168127,2920970,2912324,2165303,476354,11841,258827,8646,18764690,19891631,,
2000:Q2,pct60to80,8656249,3268666,2588062,680604,5387582,575969,128841,124779,100502,24276,45638,27469,18169,1084030,204193,236177,647631,1819110,422511,98704,1626066,1621294,1151653,436196,5028,28417,4772,7030182,20932052,,
2000:Q2,pct40to60,5008935,2063200,1603560,459640,2945735,438291,64711,55434,45649,9785,65212,56269,8943,514971,107025,93212,249694,1034848,258380,63957,959561,957076,610068,331678,3157,12173,2485,4049374,20939414,,
2000:Q2,pct20to40,3246981,1507418,1175399,332018,1739563,371890,58504,42647,31286,11362,16871,9019,7851,275870,56985,21509,74802,581790,194650,44046,497664,496312,280917,205906,2046,7443,1352,2749317,20938391,,
2000:Q2,pct00to20,1446609,745786,590070,155716,700823,181610,19734,18429,12597,5832,11230,8792,2438,133555,22343,2216,7744,195768,86907,21286,213276,212775,105436,104745,1942,652,501,1233333,20926560,,
2000:Q3,pct99to100,8718750,1530072,1208122,321950,7188679,406939,395068,480421,352107,128314,321552,301072,20480,3277565,82895,24667,371983,218425,1573689,35474,457779,456352,293714,53335,4737,104566,1427,8260971,1049324,,
2000:Q3,pct80to99,22096465,6270359,5092962,1177398,15826106,1212741,513581,458119,371488,86631,234317,197038,37279,4916266,373119,508528,1659837,3358114,2419973,171509,3003991,2995513,2223866,494723,9212,267712,8478,19092474,19955002,,
2000:Q3,pct60to80,8783553,3360882,2670696,690186,5422671,582781,130676,123094,97602,25492,47946,30327,17619,1083446,209621,235878,653142,1822800,432715,100571,1658029,1653204,1170252,453185,3980,25787,4825,7125524,20998892,,
2000:Q3,pct40to60,5096284,2109380,1642571,466809,2986905,440597,67079,53739,42300,11439,65005,56815,8191,520092,109375,95602,251197,1053008,266450,64759,986694,984178,626341,342681,2469,12687,2516,4109590,21005985,,
2000:Q3,pct20to40,3293248,1558428,1222019,336409,1734820,365800,59028,40420,28964,11456,16580,9121,7459,272123,58505,21858,76279,583948,195456,44825,516453,515087,286860,218648,1629,7949,1366,2776796,21004900,,
2000:Q3,pct00to20,1457043,760398,604975,155423,696644,181153,19516,16669,11099,5570,9513,7051,2462,136360,22335,2322,7236,195108,84995,21438,216551,216059,109412,104502,1644,501,492,1240491,20993606,,
2000:Q4,pct99to100,8380504,1587454,1249457,337997,6793051,429061,425699,515719,378033,137687,346758,325574,21184,2751780,83018,23819,359473,215651,1606007,36066,472189,470357,300101,60051,5693,104512,1832,7908316,1052829,,
2000:Q4,pct80to99,21993201,6514980,5323189,1191791,15478221,1254132,559806,501060,397139,103920,257995,219785,38210,4381305,368879,503363,1581047,3423915,2473786,172933,3035539,3026830,2276616,516240,10882,223092,8709,18957662,20020845,,
2000:Q4,pct60to80,8774863,3441438,2742292,699146,5333425,600497,135010,141317,110851,30467,55725,38638,17087,986410,213889,225048,620130,1819282,434981,101135,1691734,1686785,1186727,473432,4707,21920,4949,7083129,21068435,,
2000:Q4,pct40to60,5101354,2128653,1661255,467398,2972701,453224,70871,59841,44589,15252,63178,55718,7461,487305,110879,92865,237699,1068600,263910,64329,1010571,1008046,638641,354731,3016,11658,2525,4090783,21075225,,
2000:Q4,pct20to40,3305694,1590535,1245291,345244,1715159,364876,61017,42128,29227,12901,13970,6891,7079,250983,59970,21170,74204,585782,196309,44750,537328,535934,291575,232421,2132,9807,1393,2768367,21074035,,
2000:Q4,pct00to20,1459514,772793,612612,160180,686722,181468,19315,20677,14780,5897,9166,6679,2487,127410,21861,2259,7255,193979,82192,21139,221723,221218,111568,104392,2236,3021,505,1237791,21063379,,
2001:Q1,pct99to100,8079122,1676439,1326856,349583,6402683,472573,470865,469925,309551,160374,337047,315018,22029,2338274,86146,23080,333510,214095,1620234,36934,478888,477459,306106,62885,3591,104877,1429,7600234,1056560,,
2001:Q1,pct80to99,22053945,6891977,5685927,1206050,15161968,1340092,629836,487872,343718,144154,252350,213012,39338,3951293,370921,501692,1440175,3503550,2508521,175668,3052765,3044508,2325107,517144,6302,195954,8258,19001179,20089522,,
2001:Q1,pct60to80,8806419,3588341,2881299,707042,5218078,629487,142180,131078,88891,42186,53426,36635,16791,906352,219799,215962,560630,1822656,433942,102566,1696575,1691622,1199709,470690,2800,18424,4952,7109845,21141071,,
2001:Q1,pct40to60,5137291,2174403,1705402,469002,2962888,476557,76306,58875,35449,23426,64930,57799,7131,459131,113545,90951,213923,1086950,257017,64704,1020875,1018301,649336,356092,1733,11141,2573,4116417,21147535,,
2001:Q1,pct20to40,3358092,1652810,1300604,352206,1705283,369046,64665,40893,24379,16514,16111,9017,7094,232341,61545,20649,69579,588058,197160,45235,544784,543388,295883,235042,1218,11245,1397,2813308,21146189,,
2001:Q1,pct00to20,1469038,800514,637648,162866,668525,182433,19123,14948,7903,7045,6683,3938,2744,120070,21997,2222,7577,193304,79035,21133,227878,227397,113485,107871,1359,4682,480,1241161,21136266,,
2001:Q2,pct99to100,8385083,1731694,1375262,356432,6653389,481052,472156,435292,275328,159964,338314,315455,22859,2549616,92892,22896,349791,207062,1665795,38521,489636,488336,314299,65835,2342,105860,1299,7895447,1060547,,
2001:Q2,pct80to99,22785410,7084953,5866312,1218641,15700457,1352410,627291,464012,315256,148756,255793,215345,40448,4269079,380524,519311,1498463,3575657,2576076,181842,3150516,3142479,2407140,527560,3860,203918,8037,19634894,20161395,,
2001:Q2,pct60to80,9030442,3672597,2959692,712905,5357844,640055,141067,122891,79488,43404,54258,37777,16481,969320,227680,215805,586510,1855085,438898,106276,1738708,1733710,1238491,477760,1748,15711,4998,7291734,21217189,,
2001:Q2,pct40to60,5253261,2211201,1740293,470908,3042059,482251,76853,55863,30758,25105,65656,58889,6767,488696,117605,93408,223431,1113228,257861,67207,1046835,1044226,670822,360702,1068,11634,2609,4206425,21223319,,
2001:Q2,pct20to40,3412299,1693066,1336208,356858,1719233,364397,63405,38093,21476,16617,16846,9775,7071,240930,63248,21013,72830,593050,198225,47195,556855,555446,302905,239988,764,11789,1409,2855445,21221752,,
2001:Q2,pct00to20,1482852,810648,647596,163052,672204,182221,19002,12220,5448,6772,4991,2015,2976,130164,22867,2331,6855,192957,76693,21903,234710,234242,116360,112403,897,4581,468,1248141,21212648,,
2001:Q3,pct99to100,7988303,1781224,1421654,359570,6207079,495419,495650,480543,326526,154017,383125,359430,23695,1984384,89698,22248,321399,198592,1695651,40370,512180,510488,327638,71077,3814,107958,1693,7476122,1064823,514258,2096877184
2001:Q3,pct80to99,22400339,7246813,6012621,1234192,15153526,1376893,661203,509998,366560,143438,295458,253894,41564,3621018,369262,520393,1348910,3634103,2627034,189253,3295841,3287583,2478999,534292,6223,268069,8258,19104498,20236827,82281,514258
2001:Q3,pct60to80,9014323,3767701,3048014,719687,5246622,653784,144229,142595,100877,41718,67499,51315,16184,844384,230336,208061,523580,1880384,440969,110802,1766747,1761624,1262643,481832,2814,14334,5124,7247575,21297178,51426,82281
2001:Q3,pct40to60,5268307,2263095,1787883,475212,3005213,490903,79894,60783,35957,24826,63024,56610,6415,439754,117902,92126,198418,1137048,254895,70465,1078406,1075785,694108,366138,1792,13747,2621,4189901,21302979,30855,51426
2001:Q3,pct20to40,3424657,1733940,1373348,360591,1690717,361109,64659,39268,23457,15810,12504,5449,7055,213520,64665,20622,67667,597734,199290,49679,572512,571075,311049,247739,1378,10910,1437,2852145,21301117,16816,30855
2001:Q3,pct00to20,1482742,821886,659778,162108,660855,182197,18876,16762,10579,6184,6140,2932,3209,116595,21704,2315,7167,192116,74036,22948,240190,239708,123115,113272,1645,1676,481,1242552,21292911,0,16816
2001:Q4,pct99to100,8455961,1867706,1492332,375375,6588254,509359,500685,450696,296292,154404,356315,332305,24010,2385554,102123,22779,335742,200301,1682886,41813,509951,508289,332903,68450,891,106046,1662,7946010,1069403,,
2001:Q4,pct80to99,23054066,7410717,6169361,1241356,15643349,1406413,710981,473157,328958,144199,276211,234603,41607,4013087,384810,523651,1444963,3654229,2564459,191389,3307662,3299427,2527614,561501,1297,209015,8236,19746403,20316033,,
2001:Q4,pct60to80,9329907,3836702,3102318,734384,5493205,683983,153776,128881,86509,42372,64762,48556,16206,925283,229407,220534,549041,1970292,454910,112335,1827335,1822317,1300929,507913,634,12841,5018,7502572,21381266,,
2001:Q4,pct40to60,5386571,2309055,1823265,485790,3077517,487934,87157,56898,32231,24667,65620,58445,7176,478408,119018,94072,206215,1159851,250677,71664,1105783,1103166,709191,380061,335,13578,2618,4280788,21386753,,
2001:Q4,pct20to40,3477237,1753297,1392560,360738,1723939,373004,65718,35892,20852,15040,16155,8855,7300,225870,63851,20930,68715,597040,206569,50196,591219,589813,321113,256534,245,11921,1405,2886018,21384519,,
2001:Q4,pct00to20,1514097,837274,670616,166658,676823,181585,19959,11984,5997,5987,5859,2750,3109,127509,25107,2427,7427,186732,84606,23629,243607,243081,120035,117367,284,5394,525,1270490,21377276,,
2002:Q1,pct99to100,8636619,1955371,1563618,391753,6681248,526639,472488,438804,290004,148800,344918,320538,24380,2464284,113655,22881,347270,200148,1706895,43267,523939,522070,351536,65043,262,105229,1869,8112680,1074253,,
2002:Q1,pct80to99,23259619,7575172,6334602,1240570,15684447,1442974,704325,449982,314447,135534,270019,228299,41720,3991157,398383,511282,1527927,3654585,2540303,193510,3348813,3340399,2575478,557849,360,206712,8414,19910806,20398639,,
2002:Q1,pct60to80,9563689,3914399,3169892,744508,5649290,715923,156601,121853,81647,40206,66759,50468,16291,924909,227956,225985,568828,2050655,475963,113858,1843035,1838087,1323501,501696,185,12705,4947,7720654,21469035,,
2002:Q1,pct40to60,5483552,2371068,1878840,492228,3112484,486843,90380,54029,31275,22754,67168,59115,8053,482725,119768,92507,211794,1179061,255360,72848,1136557,1133953,735937,382846,86,15085,2603,4346995,21474224,,
2002:Q1,pct20to40,3495042,1759353,1399946,359407,1735688,385747,63036,33087,19604,13483,18165,10508,7657,222186,63006,20529,69215,595845,214172,50700,605512,604131,335635,256954,62,11480,1381,2889529,21471563,,
2002:Q1,pct00to20,1536949,850751,680923,169828,686198,181178,21014,9549,4061,5487,6711,3636,3076,128137,28332,2423,7754,180626,96167,24307,252798,252217,126724,119127,68,6298,581,1284151,21465317,,
2002:Q2,pct99to100,8485395,2047439,1638452,408987,6437956,522750,438643,478791,301251,177540,323168,298463,24705,2223119,121923,22903,319650,199389,1742372,45247,537478,535631,370842,63374,-2826,104241,1847,7947916,1079320,,
2002:Q2,pct80to99,22892839,7730474,6486991,1243482,15162365,1435399,686510,500870,316516,184353,255218,213450,41768,3581801,405018,495951,1427154,3648552,2527801,198092,3399458,3391058,2641187,568214,-3615,185272,8400,19493381,20484122,,
2002:Q2,pct60to80,9642487,3984329,3227355,756974,5658158,736283,157810,138071,82921,55150,65869,49558,16311,848999,224719,230115,511444,2128517,499317,117015,1885817,1880974,1360171,510638,-1960,12125,4842,7756671,21559907,,
2002:Q2,pct40to60,5533491,2443894,1943566,500328,3089597,475467,92573,63991,32283,31708,69672,60855,8817,455213,119250,90277,187537,1197270,262785,75563,1177805,1175204,767864,392009,-784,16115,2601,4355687,21564808,,
2002:Q2,pct20to40,3484838,1756719,1397540,359179,1728119,393265,59679,36163,19308,16855,21435,13538,7897,204389,62057,19994,62445,594505,221927,52260,627206,625856,351409,263445,-542,11544,1350,2857632,21561697,,
2002:Q2,pct00to20,1551365,862764,688726,174038,688601,180205,21981,10301,3454,6848,6856,3887,2969,119197,30897,2396,8876,174246,108098,25546,261817,261191,133567,119963,-563,8223,626,1289548,21556446,,
2002:Q3,pct99to100,8129071,2135384,1720348,415036,5993687,544107,412884,484695,288916,195780,314993,289907,25086,1763410,127755,22976,288897,198613,1788286,47070,549998,547752,387626,60165,-3460,103421,2246,7579073,1084557,,
2002:Q3,pct80to99,22254573,7848003,6592117,1255886,14406570,1480640,680448,518212,298094,220118,252134,210248,41886,2905611,406448,482299,1310648,3642403,2525879,201849,3472517,3463777,2717380,579979,-4264,170682,8740,18782056,20571962,,
2002:Q3,pct60to80,9685053,4068419,3295891,772528,5616634,770382,160220,143020,76723,66297,69447,53050,16397,718079,220130,235090,448733,2207134,524774,119626,1943146,1938347,1408609,520420,-2393,11711,4799,7741907,21653303,,
2002:Q3,pct40to60,5582111,2533686,2017838,515848,3048425,476781,95417,68965,30715,38250,71136,61429,9707,402385,117776,88432,161386,1215681,272706,77761,1219456,1216879,800255,400084,-864,17403,2578,4362655,21657925,,
2002:Q3,pct20to40,3488514,1776087,1419681,356406,1712427,407087,57205,36800,17929,18872,23217,14960,8257,175925,61026,19536,55164,593184,229823,53460,646696,645365,367021,267512,-595,11427,1331,2841817,21654371,,
2002:Q3,pct00to20,1561661,878214,703134,175080,683447,180109,22897,9241,1541,7699,8107,5174,2932,103018,32972,2383,9946,167803,120372,26600,271680,270988,138268,123448,-570,9843,692,1289980,21650074,,
2002:Q4,pct99to100,8381560,2217207,1795061,422145,6164353,549453,419236,495936,271607,224329,302659,277195,25464,1954482,134318,23867,298842,199405,1736607,49549,562444,560165,405241,57931,-5682,102675,2279,7819116,1089913,,
2002:Q4,pct80to99,22593237,7969965,6707407,1262557,14623273,1492490,727465,562856,276037,286819,245796,203801,41996,3022216,409303,496611,1384741,3653003,2420102,208691,3560199,3551426,2794420,595045,-6700,168661,8773,19033038,20661637,,
2002:Q4,pct60to80,9978696,4152456,3367490,784966,5826240,795537,169377,156339,69538,86802,72175,55700,16475,746851,215865,253673,465135,2294976,532024,124287,2003013,1998312,1456670,533955,-3897,11584,4701,7975683,21748643,,
2002:Q4,pct40to60,5711531,2612304,2084030,528274,3099227,470351,102265,79544,28651,50893,73090,62501,10589,420511,116547,92983,165708,1237494,258851,81884,1264103,1261530,833490,410211,-1251,19080,2572,4447428,21752992,,
2002:Q4,pct20to40,3536073,1796361,1443551,352810,1739712,416875,58395,39457,16398,23059,25605,17001,8604,177998,60010,20360,55436,592366,237222,55989,668317,667016,382971,273928,-835,10953,1301,2867756,21749033,,
2002:Q4,pct00to20,1592112,893690,718259,175432,698422,179567,23957,9351,0,9351,9178,6293,2885,107530,35202,2587,10326,161899,130465,28359,280297,279556,143521,125939,-734,10830,741,1311815,21745614,,
2003:Q1,pct99to100,8443722,2303102,1863165,439937,6140620,584122,388193,478478,262392,216086,302395,276619,25776,1882545,143730,24395,297228,197784,1790355,51395,573023,570024,421090,52651,-5604,101887,3000,7870698,1095337,,
2003:Q1,pct80to99,22593438,8130935,6874381,1256554,14462502,1565737,709569,523533,261805,261729,250120,208103,42017,2817294,418005,498072,1404211,3637998,2425526,212435,3638812,3629430,2860875,593427,-6466,181593,9382,18954626,20752624,,
2003:Q1,pct60to80,10170378,4232843,3440452,792391,5937535,837313,169989,144985,65238,79747,79139,62674,16464,710576,213037,266372,459180,2370791,559261,126893,2039431,2034728,1497665,529122,-3849,11790,4703,8130947,21845351,,
2003:Q1,pct40to60,5788225,2667966,2136045,531921,3120259,478443,103918,73063,27499,45563,73464,62159,11305,409557,116364,94643,161462,1254636,270637,84072,1296401,1293867,862260,411579,-1144,21172,2534,4491824,21849426,,
2003:Q1,pct20to40,3543628,1798216,1447444,350772,1745412,434253,55277,35587,15325,20262,26190,17404,8786,167562,59071,20601,53592,590791,245312,57175,679530,678240,397715,271254,-770,10041,1291,2864098,21845131,,
2003:Q1,pct00to20,1614987,907792,729785,178008,707194,180049,24753,8428,0,8428,11212,8475,2738,103592,38019,2694,10884,155018,143130,29415,289964,289141,147636,131090,-610,11024,823,1325023,21842475,,
2003:Q2,pct99to100,9141373,2392357,1939401,452955,6749017,596596,363310,451671,239487,212184,344124,317977,26147,2380725,156878,25330,326219,197354,1853677,53133,592757,589545,443369,49623,-4893,101446,3212,8548616,1100780,,
2003:Q2,pct80to99,23421535,8279217,7019888,1259330,15142318,1592698,700553,485945,236194,249751,291063,248951,42111,3263019,434394,513398,1569199,3635757,2440685,215607,3842449,3832884,2963922,604680,-5559,269841,9565,19579086,20844402,,
2003:Q2,pct60to80,10584534,4324961,3521081,803880,6259573,866571,171526,134060,57478,76582,100113,83588,16525,805316,212110,286185,512331,2453808,588433,129120,2115567,2110938,1562201,538392,-3371,13716,4629,8468967,21942846,,
2003:Q2,pct40to60,5967344,2750245,2209183,541062,3217098,475772,106070,67797,24923,42874,68145,55979,12165,457377,117560,99547,179802,1274391,284736,85902,1352553,1350033,906331,419479,-940,25163,2519,4614791,21946647,,
2003:Q2,pct20to40,3579870,1809309,1460631,348678,1770561,445972,52837,32217,13684,18533,20603,11501,9103,180710,58235,21488,57290,589577,253524,58109,699754,698489,416829,275236,-645,7070,1265,2880116,21942114,,
2003:Q2,pct00to20,1663132,925908,745756,180153,737224,179870,25515,7884,0,7884,16739,14071,2668,116739,41601,2914,10981,148530,156109,30341,297848,296966,155728,134521,-457,7174,881,1365284,21940071,,
2003:Q3,pct99to100,9512425,2482866,2024009,458857,7029559,593266,333435,464850,273735,191114,335802,309427,26374,2618350,168530,26004,330987,196181,1906732,55424,612186,608921,467885,48181,-7370,100225,3265,8900239,1106192,,
2003:Q3,pct80to99,23706415,8416478,7145779,1270699,15289937,1586726,680974,465421,260558,204863,289433,247406,42026,3389392,447552,519448,1619353,3625682,2444576,221380,3918849,3909235,3057074,616106,-8104,244159,9615,19787566,20936449,,
2003:Q3,pct60to80,10864388,4423105,3604319,818785,6441283,886561,171324,128907,65564,63344,105791,89386,16404,835343,210316,301760,518613,2533766,615826,133077,2175799,2171268,1614863,548426,-5042,13020,4531,8688589,22040549,,
2003:Q3,pct40to60,6103260,2844034,2287916,556118,3259226,465561,107095,62467,28417,34050,68645,55973,12672,476206,118153,102358,180201,1292843,296336,89361,1406259,1403746,949386,429316,-1270,26313,2513,4697002,22044070,,
2003:Q3,pct20to40,3612861,1831221,1485646,345575,1781639,453519,49775,29259,14679,14580,21826,12747,9079,181373,57341,21953,56584,588101,261741,60169,725870,724635,435975,282341,-843,7162,1235,2886991,22039431,,
2003:Q3,pct00to20,1698697,945018,764209,180809,753679,179215,26134,6455,0,6455,18493,16095,2398,121473,44886,3064,11458,141690,168945,31866,310905,309973,165750,135305,-513,9430,932,1387791,22037813,,
2003:Q4,pct99to100,10161055,2575111,2106368,468743,7585944,601338,308366,511879,305406,206473,323912,297226,26686,3077238,179833,27017,357223,195649,1945678,57812,638591,635330,484950,45550,5675,99155,3261,9522464,1111523,,
2003:Q4,pct80to99,24438522,8573953,7294010,1279943,15864568,1604710,668007,514671,281317,233354,285268,243221,42047,3738961,459880,537219,1772611,3622518,2433142,227581,3987099,3977482,3138292,630839,6631,201719,9617,20451423,21028244,,
2003:Q4,pct60to80,11268538,4525193,3691873,833320,6743345,913051,171777,145296,72877,72420,111120,94729,16391,907769,208260,323519,566583,2617912,640736,137321,2248673,2244249,1666872,561376,4042,11958,4424,9019865,22137883,,
2003:Q4,pct40to60,6284788,2928678,2359519,569159,3356109,461028,108456,70712,31624,39088,69812,56421,13391,512699,118577,107958,196496,1312754,304526,93090,1452611,1450102,983019,438752,1131,27201,2510,4832176,22141115,,
