Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2020:Q2,Silent,18361632,4807113,4068423,738690,13554519,2179249,619582,855123,821757,33366,194615,172239,22376,5291113,252812,33273,429591,1811028,1634089,254043,750343,745552,493935,163735,13882,74000,4791,17611289,15071897
2020:Q2,BabyBoom,64622076,15378008,13060620,2317388,49244068,5609212,1623654,2118071,2037423,80648,668973,639499,29474,15107657,844593,1415892,4204281,11032625,6050828,568281,4571543,4554117,3077240,960398,153540,362939,17426,60050533,42745809
2020:Q2,GenX,33395473,10892203,9193661,1698542,22503270,2885640,479070,459327,440222,19105,205938,185672,20266,6090464,561330,820427,3093975,3770630,3820367,316101,5943982,5931521,4329699,1411875,64155,125792,12461,27451491,34724327
2020:Q2,Millennial,9563959,4685945,3739949,945996,4878013,1210072,81972,150756,150756,0,31747,26377,5370,821838,169185,128410,652476,663443,784078,184037,4191859,4188074,2599693,1526459,46687,15235,3785,5372100,36747141
2020:Q3,Silent,18838763,4871498,4119013,752486,13967265,2177372,578464,794391,794391,0,182401,161257,21144,5822905,255093,28603,419341,1742887,1708814,256995,727710,723063,484596,154994,13452,70021,4647,18111054,14759726
2020:Q3,BabyBoom,66666450,15911267,13536599,2374669,50755183,5718461,1538836,2010243,2010243,0,653249,623633,29616,16360100,866186,1446260,4364854,10958388,6253456,585150,4592670,4575415,3049109,959332,145269,421706,17254,62073781,42653321
2020:Q3,GenX,34749356,11277999,9539745,1738254,23471356,2987082,449195,443803,443803,0,197073,177213,19860,6546724,572630,877550,3305977,3941483,3823741,326100,5997740,5985521,4369892,1431045,63316,121269,12219,28751615,34763203
2020:Q3,Millennial,10553411,5045008,4040784,1004224,5508403,1290864,81652,164456,164456,0,29040,22374,6665,1100706,172287,143676,733356,722765,874862,194739,4382998,4379065,2748022,1562250,44402,24391,3933,6170412,37328905
2020:Q4,Silent,19913368,4921981,4158206,763775,14991388,2223577,551757,782032,782032,0,180647,160710,19937,6827428,260258,24968,423176,1687403,1775027,255115,705758,701354,472096,147698,14102,67458,4404,19207610,14462828
2020:Q4,BabyBoom,70470323,16385109,13958352,2426758,54085214,6005453,1489106,2028932,2028932,0,688913,659305,29608,18811217,898075,1465665,4667076,10998469,6440991,591316,4571039,4554260,2953285,962291,142346,496338,16779,65899284,42564040
2020:Q4,GenX,36940182,11638634,9864490,1774144,25301548,3209766,432462,454162,454162,0,189200,169769,19431,7547356,590112,931182,3674188,4122030,3821400,329691,6038471,6026806,4391738,1450209,68548,116312,11665,30901711,34805881
2020:Q4,Millennial,11780817,5363698,4306100,1057598,6417119,1451108,82300,177199,177199,0,34499,26686,7813,1550311,173307,158767,855345,771143,962056,201085,4642158,4638043,2966076,1588828,46691,36448,4116,7138659,37889353
