Date,z_rotation,z_k_shape,BEDI_equal_weight,BEDI_pca
2004-12-31,-0.9016259739107568,-0.3574779732824984,-0.6295519735966276,-0.384770741213344
2005-03-31,-0.7372842962866707,-0.3883348506004832,-0.562809573443577,-0.24674451933599062
2005-06-30,-0.4888860712409957,-0.2649073413285442,-0.37689670628476996,-0.15837687876264514
2005-09-30,-0.2073975599802145,-0.2649073413285453,-0.2361524506543799,0.04066555637596003
2005-12-31,-0.006679295323617139,-0.26490734132854643,-0.1357933183260818,0.18259480242263706
2006-03-31,0.370577552268523,-0.04890920010265545,0.1608341760829338,0.2966219272195824
2006-06-30,0.4421366369469274,-0.07976607742063908,0.18118527976314416,0.36904094844897206
2006-09-30,0.7047803532766411,-0.01805232278467071,0.3433640152459852,0.5111198869061728
2006-12-31,0.9902047059167193,0.07451830916928132,0.5323615075430003,0.6474880605803891
2007-03-31,1.1961059375132799,0.2288026957592039,0.7124543166362419,0.6839866817080382
2007-06-30,1.4661910902329067,0.29051645039517116,0.8783537703140389,0.8313275102983158
2007-09-30,1.590434980255919,0.413943959667109,1.002189469961514,0.8319047786634308
2007-12-31,1.3297715634607523,0.44480083698509376,0.887286200222923,0.6257688018425244
2008-03-31,0.9146135131832812,0.413943959667109,0.6642787364251951,0.35402683642492705
2008-06-30,0.70171309240174,0.3830870823491243,0.5424000873754321,0.2253026123706181
2008-09-30,0.08361707721100431,0.3830870823491254,0.23335207978006486,-0.21175727139513548
2008-12-31,-1.2248974958853411,0.321373327713157,-0.4517620840860921,-1.0933785849174062
2009-03-31,-1.593486426732283,0.321373327713157,-0.636056549509563,-1.3540103173895786
2009-06-30,-1.3110246987889815,0.3830870823491254,-0.46396880821992803,-1.1979179285307762
2009-09-30,-0.5007533797515523,0.5373714689390469,0.01830904459374727,-0.7340651202273814
2009-12-31,-0.43595622344773455,0.5682283462570306,0.066136061404648,-0.7100657188011347
2010-03-31,-0.26095981703944887,0.6607989782109825,0.19991958058576684,-0.6517818947399223
2010-06-30,-0.6482736378133929,0.5990852235750153,-0.024594207119188805,-0.882015909460874
2010-09-30,-0.06459100311585728,0.6916558555289672,0.31353242620655497,-0.5347472819987795
2010-12-31,0.07060901014476469,0.8459402421188899,0.4582746261318273,-0.5482419717946236
2011-03-31,0.29348924399271736,0.9385108740728418,0.6160000590327797,-0.45609916864165617
2011-06-30,0.16211218600177235,0.9693677513908266,0.5657399686962995,-0.5708158844371801
2011-09-30,-0.5408938874478053,0.8150833648009052,0.13709473867654992,-0.9588207101997649
2011-12-31,-0.31869559874233183,0.9076539967548582,0.2944791990062632,-0.8671601150814423
2012-03-31,0.04548643625107349,1.031081506026795,0.5382839711389342,-0.6969209573424406
2012-06-30,-0.027047753864206037,0.9693677513908255,0.4711599987633098,-0.7045721606452523
2012-09-30,0.07548019670611136,1.031081506026795,0.5532808513664532,-0.6757121659313984
2012-12-31,0.12893003228772945,1.0002246287088115,0.5645773304982704,-0.6160983175405427
2013-03-31,0.46533667880473956,1.0619383833447797,0.7636375310747596,-0.4218611109477148
2013-06-30,0.46937222923345046,0.9693677513908266,0.7193699903121386,-0.3535502242803886
2013-09-30,0.588754108315026,0.9693677513908278,0.7790609298529269,-0.26913448803101514
2013-12-31,0.7411205208842387,1.0002246287088115,0.8706725747965252,-0.18321427167604482
2014-03-31,0.8374410987464196,1.0619383833447797,0.9496897410455997,-0.1587435522974658
2014-06-30,0.949958671912425,1.1545090152987318,1.0522338436055785,-0.14463893490249344
2014-09-30,0.869699355466315,1.1545090152987318,1.0121041853825234,-0.20139084181493494
2014-12-31,0.9560850096427973,1.2162227699347012,1.0861538897887493,-0.18394517434508464
2015-03-31,0.9609252654697531,1.2162227699347012,1.0885740177022272,-0.1805225966271665
2015-06-30,0.9600926495140211,1.2470796472526848,1.103586148383353,-0.20293045221337633
2015-09-30,0.7133806178117164,1.1545090152987318,0.9339448165552241,-0.3119248812370225
2015-12-31,0.8103942935606516,1.154509015298733,0.9824516544296923,-0.24332585324711822
2016-03-31,0.7904387727639365,1.154509015298733,0.9724738940313347,-0.2574365373245846
2016-06-30,0.9202572352689388,1.2162227699347001,1.0682400026018195,-0.20927923655966102
2016-09-30,0.9141910573100716,1.1853658926167154,1.0497784749633934,-0.191749564932472
2016-12-31,0.7050392800062927,1.1545090152987318,0.9297741476525123,-0.31782309776340534
2017-03-31,0.7001546741598423,1.1545090152987318,0.9273318447292871,-0.32127703568085386
2017-06-30,0.7354411749400498,1.123652137980748,0.9295466564603989,-0.27450660449703695
2017-09-30,0.6791190532790182,1.123652137980748,0.9013855956298831,-0.3143323586543662
2017-12-31,0.7079458264802578,1.154509015298733,0.9312274208894954,-0.3157678590418313
2018-03-31,0.492833475363287,1.0619383833447797,0.7773859293540334,-0.4024179396402588
2018-06-30,0.4957196336512312,1.0002246287088103,0.7479721311800207,-0.35673890314769924
