,z_wealth,z_income,z_consumer,K,K_pca,K_invvar
2011-12-31,2.2530947741535896,1.4786677210911743,-0.6002925205904401,1.0438233248847746,1.942000968700427,2.016693577094759
2012-03-31,2.1698186097778467,1.6092900536788488,0.23799583325175974,1.3390348322361518,2.1480533425845003,1.9997149921060087
2012-06-30,1.8082472026399354,1.4460121379442559,-0.019939044853533747,1.0781067652435525,1.811369346970747,1.6939621483753964
2012-09-30,1.711764700397647,1.3480453885035,-1.3096134353799944,0.5833988845070509,1.4437550019340013,1.5880995762052919
2012-12-31,1.4358064298919875,1.3153898053565816,-0.6164134504720222,0.7115942615921824,1.4216672673513964,1.3869582196443815
2013-03-31,1.5525581091268912,1.3480453885034998,-0.40684136201147286,0.8312540452063061,1.543216284142833,1.4810652848059092
2013-06-30,1.2778421104233793,1.5439788873850115,0.3347214125412434,1.052180803449878,1.6728826112397572,1.3446242135099236
2013-09-30,1.0489097120335746,1.5439788873850118,0.17351211372543582,0.9221335710480073,1.5241010878970804,1.1797447847857623
2013-12-31,1.1048795349213585,1.3480453885035,0.5120516412386308,0.9883255215544965,1.4990426948775044,1.1679184987748341
2014-03-31,1.0477886103372167,0.8255560581528022,0.9956795376860536,0.9563414020586908,1.2433636292666919,0.9857126492229453
2014-06-30,0.8894168092245899,0.5643113929774533,0.44756792171230914,0.6337653746381174,0.8914829219548492,0.7958574848071505
2014-09-30,0.844591543954798,0.4010334772428601,0.7699865193439243,0.6718705135138608,0.8320946357187797,0.7209139587377567
2014-12-31,0.8791487391273601,0.30306672780210414,0.3024795527780814,0.49489833990251525,0.6955860249645934,0.7149134089696095
2015-03-31,0.8227617239184019,0.2050999783613483,-0.19726927355092116,0.27686414290960965,0.5063317455455305,0.6436529228431515
2015-06-30,0.7876161968656652,0.07447764577367404,0.5120516412386308,0.45804849462599,0.5494408649581006,0.5876016839656091
2015-09-30,0.7622199593086721,-0.15411143625475646,-0.003818114971953904,0.2014301360273206,0.29191091847621536,0.5021194997764715
2015-12-31,0.6420548165145793,0.04182206262675537,-0.8582273986957336,-0.05811683985146632,0.18113848454644155,0.46417412597568647
2016-03-31,0.6198528940165725,0.1071332289205927,0.12514932408069399,0.28404514900595307,0.40687931879664974,0.47382088494143776
2016-06-30,0.6453275944138641,-0.15411143625475646,0.20575397348859548,0.23232337721590104,0.27430667515733087,0.4201262607131936
2016-09-30,0.4923865648447478,-0.15411143625475623,0.06066560455437004,0.13298024438145387,0.1674350481198154,0.3096955549276479
2016-12-31,0.5097725154984203,-0.5459784340177795,0.15739118384385367,0.04039508844149817,-0.046861421405044124,0.21408292726301084
2017-03-31,0.45882167464619983,-0.44801168457702384,0.18963304360701566,0.06681434455873055,-0.0057311409005750815,0.2050918980112114
2017-06-30,0.3962474747235859,-0.25207818569551227,0.6248981504096965,0.2563558131459234,0.17068944323299315,0.21801255561546973
2017-09-30,0.36490979320938666,-0.21942260254859366,0.6571400101728585,0.26754240027788384,0.18138992001462675,0.2049151262876164
2017-12-31,0.34560520781904214,-0.08880026996091901,0.27023769301491946,0.17568087695768086,0.17502928142294844,0.22446234355163774
2018-03-31,0.2657558241718935,-0.18676701940167473,1.156888836501861,0.41195921375735994,0.25104511506731786,0.1468484550381876
2018-06-30,0.20650773706067288,-0.4153561014301051,-0.27787392295882724,-0.16224076244275315,-0.2074537241706661,0.030258544299744432
2018-09-30,0.2112007638492566,-0.7092563497523728,-0.003818114971953904,-0.1672912336250234,-0.332132349708197,-0.04590336760096274
2018-12-31,0.18783075914243066,-0.7745675160462103,-0.7453808895246679,-0.44403921547614916,-0.5327220315149395,-0.08631280720832088
2019-03-31,0.19950315130782223,-0.9378454317808035,-0.2939948528404071,-0.34411237777112946,-0.5375605041211563,-0.1198958449085789
2019-06-30,0.1776781389199691,-0.9051898486338843,-0.5196878711825363,-0.4157331936321505,-0.573592024678966,-0.12813115292515154
2019-09-30,0.07358562450118052,-0.7745675160462101,-0.6486553102351842,-0.44987906726007126,-0.5715425727862802,-0.16726165538179996
2019-12-31,0.05479646625192888,-1.0031565980746404,-0.35847857236672875,-0.43561290139648007,-0.6645376528438669,-0.24196203552106374
2020-03-31,-0.09311272336072292,-1.0684677643684775,-0.8582273986957336,-0.673269295474978,-0.8801776494376033,-0.3695892279073345
2020-06-30,-0.21797728996443594,-0.8398786823400473,-1.2128878560905108,-0.756914609464998,-0.8732089927765092,-0.39807406839477777
2020-09-30,-0.29227294335733933,-0.6112896003116174,-1.2934925054984145,-0.7323516830557905,-0.7856979609115182,-0.3883464915657803
2020-12-31,-0.363090511319085,-0.48066726772394275,-1.164525066445769,-0.6694276151629323,-0.7151337503701594,-0.40174950142701815
2021-03-31,-0.44418088645756093,-0.6766007666054539,-0.3423576424851489,-0.48771309851605454,-0.7132654049968873,-0.5079275449596045
2021-06-30,-0.46925883270721147,-0.8725342654869662,-0.10054369426143754,-0.4807789308185384,-0.7989249854485277,-0.5784232915963335
2021-09-30,-0.5137425586106391,-1.5909570947191756,-1.4869436640773819,-1.1972144391357322,-1.5433472062249745,-0.8200558328637001
2021-12-31,-0.5463522695642206,-2.0154796756291176,-1.3579762250247362,-1.3066027234060247,-1.7968564696684057,-0.9602329961320129
2022-03-31,-0.6273978223526595,-2.407346673392141,-1.503064593958964,-1.512603029901255,-2.1096148455715737,-1.1280335115536022
2022-06-30,-0.7495698539414631,-2.766558088008246,-2.631529685669617,-2.049219209206442,-2.6197319221942372,-1.3235630809042578
2022-09-30,-0.7415077803424615,-2.8318692543020836,-1.906087840998483,-1.8264882918810093,-2.51098813234108,-1.3304750951190496
2022-12-31,-0.6679150854463547,-2.211413174510629,-3.0990366522354598,-1.9927883040641479,-2.3281168791370837,-1.114610849271984
2023-03-31,-0.6760576617054134,-1.6236126778660942,-1.7932413318274172,-1.3643038904663083,-1.707432673424534,-0.9474639802786248
2023-06-30,-0.6572996947327672,-0.7745675160462101,-1.873845981235322,-1.1019043973380998,-1.1886095453585537,-0.6989929363079974
2023-09-30,-0.6528594273303796,-0.05614468681400073,0.47980978147547,-0.07639811088963679,-0.2711675425662935,-0.4787182179594224
2023-12-31,-0.6091767380280094,-0.15411143625475646,-0.8259855389325717,-0.5297579044051125,-0.5706485694017538,-0.48449541167406407
2024-03-31,-0.6048613553099765,0.07447764577367387,0.3347214125412411,-0.06522076566502051,-0.1949136692578965,-0.4092376688064767
2024-06-30,-0.5906803007356737,-0.08880026996091923,0.769986519343922,0.030168649549109694,-0.20169843141701566,-0.4411483856751791
2024-09-30,-0.5506662308851913,0.10713322892059297,1.1407679066202814,0.23241163488522767,0.014055147462777385,-0.3553702447394083
2024-12-31,-0.5820258710927912,0.923522807593558,0.5926562906465346,0.3113844090491004,0.3936772152272914,-0.15530705571931652
2025-03-31,-0.5851701904775983,1.217423055915826,-0.22951113331408313,0.13424724404138147,0.4095478116814815,-0.08215758142241568
2025-06-30,-0.5773418503456146,1.5439788873850115,-1.4547018043142221,-0.16268825575827506,0.3706261865959677,0.004871390221108066
2025-09-30,-0.5550386039022461,1.5766344705319304,-0.43908322177463366,0.1941708816183502,0.6052636858749688,0.037513908330396056
2025-12-31,-0.5525228783938162,1.0541451401812323,-0.7615018194062488,-0.08662651920627758,0.21875852314741484,-0.10813639332824948
2026-03-31,-0.5575526477379911,0.825556058152802,-0.06830183449827557,0.06656719197217845,0.21335384804085367,-0.1699708021427315
